id,name,lat,lng
1157,Bartnicza,52.285260,21.022402
1158,Bazyliańska,52.290536,21.018613
1159,PKP Toruńska,52.293114,21.010374
1160,Wołomińska,52.262695,21.054796
1161,św.Hieronima,52.292292,21.021912
1162,Pelcowizna,52.294651,21.015636
1163,Park Praski,52.252548,21.029576
1164,Wybrzeże Helskie,52.262254,21.014147
1165,Turmoncka,52.297710,21.033105
1166,Kopijników,52.300640,21.030664
1167,Gryfitów,52.303399,21.029830
1168,Wielkiego Dębu,52.306518,21.029828
1169,Zbyszka z Bogdańca,52.311041,21.029885
1170,Danusi,52.314473,21.029806
1171,Przydrożna,52.316720,21.029500
1172,Przyjazna,52.318453,21.032446
1173,Dobka z Oleśnicy,52.322642,21.032437
1174,Białołęka-Kanał,52.325822,21.031791
1175,Warzelnicza,52.330157,21.032145
1176,Brzeziny,52.334818,21.033365
1177,Łokietka,52.278838,21.060719
1178,Samarytanka,52.279837,21.056745
1179,CH Targówek,52.302958,21.059109
1180,os.Lewandów I,52.311210,21.063520
1181,Okrągła,52.317189,21.067200
1182,Grodzisk,52.323473,21.067047
1183,Kąty Grodziskie,52.324861,21.064155
1184,Arena Legionowo,52.399576,20.916399
1185,Buchnik,52.364638,20.933668
1186,Piaskowa,52.369250,20.929770
1187,Szkolna,52.373568,20.926132
1188,Pałac,52.377176,20.918845
1189,Szarych Szeregów,52.383910,20.924139
1190,Sobieskiego,52.387755,20.928572
1192,3 Maja,52.395977,20.927956
1193,Mickiewicza,52.398003,20.922969
1194,Erazma z Zakroczymia,52.324192,20.946331
1195,Mehoffera,52.322093,20.944944
1196,Parkowa,52.406582,20.919209
1197,PKP Legionowo Przystanek,52.410807,20.915447
1199,Zajezdnia Stalowa,52.263361,21.048360
1200,Wilkowiecka,52.342450,21.028410
1202,Oknicka,52.322483,21.078628
1203,Chudoby,52.324309,21.075525
1205,Głębocka,52.307015,21.061135
1208,os.Młodych,52.421694,20.925558
1209,Powstańców,52.277437,21.115322
1210,Szwoleżerów,52.284134,21.110058
1211,Warszawska,52.286335,21.105668
1213,Gościeradowska,52.276193,21.047164
1215,Gilarska,52.286574,21.047238
1217,Księcia Ziemowita,52.262632,21.060010
1218,Sadkowska,52.336240,20.988950
1219,Milenijna,52.319480,20.968375
1220,Sierakowskiego,52.250013,21.030829
1222,Cmentarz,52.281143,21.112225
1225,Zdziarska-Kanał,52.340214,21.048737
1226,Mańki-Wojdy,52.339558,21.047644
1227,Lwowska,52.403300,20.913560
1228,Rycerska,52.395943,20.919109
1229,Husarska,52.393413,20.921064
1230,Siwińskiego,52.390580,20.924951
1231,Metro Stadion Narodowy,52.247067,21.043105
1232,most Świętokrzyski,52.242650,21.038739
1233,Wiejska,52.306398,21.091196
1234,CH Marki,52.304988,21.085399
1235,Wolności,52.302605,21.088039
1236,Szpitalna,52.311649,21.095529
1237,Szkolna,52.317187,21.100092
1238,Marki-Ratusz,52.326150,21.107515
1239,Wspólna,52.333361,21.113379
1240,Pustelnik,52.338707,21.117690
1241,Graniczna,52.351865,21.128707
1242,Struga,52.358492,21.134140
1243,Legionowa,52.361601,21.123368
1244,Czarna Struga,52.360867,21.111262
1246,Hallera,52.343142,21.121361
1249,Słoneczna,52.329096,21.109924
